road_id,order,lat,lon
br-376,0,-25.896821,-48.9292165
br-376,1,-25.89699365856261,-48.92908258458736
br-376,2,-25.897165903083057,-48.92894815782117
br-376,3,-25.897332804441458,-48.9288071321017
br-376,4,-25.89749816281409,-48.928664311415204
br-376,5,-25.89766264621572,-48.92852047286831
br-376,6,-25.89782712961735,-48.92837663432141
br-376,7,-25.897991349554562,-48.92823249686484
br-376,8,-25.898154701864854,-48.928087375054936
br-376,9,-25.89831805417515,-48.92794225324504
br-376,10,-25.89848140648544,-48.92779713143514
br-376,11,-25.898644758795733,-48.92765200962525
br-376,12,-25.898808111106028,-48.927506887815355
br-376,13,-25.89897146341632,-48.927361766005454
br-376,14,-25.899134815726615,-48.92721664419556
br-376,15,-25.899298168036907,-48.92707152238566
br-376,16,-25.8994615203472,-48.926926400575766
br-376,17,-25.899624872657494,-48.926781278765866
br-376,18,-25.8997891300728,-48.92663718229594
br-376,19,-25.8999534,-48.9264931
br-376,20,-25.9322908,-48.9118361
br-376,21,-25.93248545400708,-48.91177350467519
br-376,22,-25.932679527440676,-48.911709139901376
br-376,23,-25.93287154668327,-48.9116389408744
br-376,24,-25.93306057618706,-48.91156108636043
br-376,25,-25.93324708828349,-48.91147735359264
br-376,26,-25.933430459697647,-48.91138710439565
br-376,27,-25.933609589587462,-48.9112885269296
br-376,28,-25.933786675575718,-48.911186305302245
br-376,29,-25.93396261841096,-48.91108213163705
br-376,30,-25.934138410558244,-48.91097770065847
br-376,31,-25.934314202705533,-48.91087326967988
br-376,32,-25.934490111338153,-48.91076903756252
br-376,33,-25.93466796984615,-48.910668242956596
br-376,34,-25.934850672361367,-48.910576455049636
br-376,35,-25.935035051919282,-48.910488064513046
br-376,36,-25.935223738860767,-48.91040936128315
br-376,37,-25.935415287314907,-48.91033806947236
br-376,38,-25.935609751437536,-48.91027505017086
br-376,39,-25.93580620704487,-48.91021838039168
br-376,40,-25.93600360007922,-48.91016509285374
br-376,41,-25.936203285468764,-48.9101211745002
br-376,42,-25.936405079552994,-48.910088378920555
br-376,43,-25.936608280782316,-48.910065671866974
br-376,44,-25.936811734493336,-48.910045293059135
br-376,45,-25.937015188204356,-48.9100249142513
br-376,46,-25.937218641915376,-48.91000453544347
br-376,47,-25.937422095626395,-48.90998415663564
br-376,48,-25.937625549337415,-48.909963777827805
br-376,49,-25.93782900173646,-48.90994338592861
br-376,50,-25.938032453325697,-48.90992298594889
br-376,51,-25.938235904914936,-48.90990258596917
br-376,52,-25.938439356504176,-48.90988218598946
br-376,53,-25.938642808093416,-48.90986178600974
br-376,54,-25.938846259682656,-48.909841386030024
br-376,55,-25.939049712600593,-48.909820999308835
br-376,56,-25.939253166409046,-48.909800621473764
br-376,57,-25.9394566202175,-48.9097802436387
br-376,58,-25.93966007402595,-48.90975986580363
br-376,59,-25.939863527834408,-48.909739487968565
br-376,60,-25.94006698164286,-48.909719110133494
br-376,61,-25.94026978477918,-48.90969324314995
br-376,62,-25.940472120835242,-48.909663878599765
br-376,63,-25.940673856481546,-48.90963054037325
