geometry,road_id
POINT (-47.8953907 -21.9879228),sao_carlos
POINT (-47.896075 -21.9876814),sao_carlos
POINT (-47.8968489 -21.9874459),sao_carlos
POINT (-47.879847 -21.9933502),sao_carlos
POINT (-47.8803274 -21.9929887),sao_carlos
POINT (-47.8810891 -21.9924443),sao_carlos
POINT (-47.8819108 -21.9919149),sao_carlos
POINT (-47.8821249 -21.9917788),sao_carlos
POINT (-47.882209 -21.9917036),sao_carlos
POINT (-47.882259 -21.9916382),sao_carlos
POINT (-47.8822937 -21.9915779),sao_carlos
POINT (-47.8823155 -21.9915097),sao_carlos
POINT (-47.8823803 -21.9913088),sao_carlos
POINT (-47.8803437 -21.9930378),sao_carlos
POINT (-47.8807728 -21.9927817),sao_carlos
POINT (-47.8812663 -21.9925091),sao_carlos
POINT (-47.8817066 -21.9922971),sao_carlos
POINT (-47.8821649 -21.9921065),sao_carlos
POINT (-47.8825894 -21.9919474),sao_carlos
POINT (-47.8829849 -21.9917963),sao_carlos
POINT (-47.8830316 -21.9917791),sao_carlos
POINT (-47.8834772 -21.9916287),sao_carlos
POINT (-47.885526 -21.9910431),sao_carlos
POINT (-47.8900142 -22.0029664),sao_carlos
POINT (-47.8908783 -22.0029624),sao_carlos
POINT (-47.8909726 -22.0029619),sao_carlos
POINT (-47.8986855 -22.0114255),sao_carlos
POINT (-47.899715 -22.0114585),sao_carlos
POINT (-47.8997706 -22.0114603),sao_carlos
POINT (-47.8976929 -22.0123505),sao_carlos
POINT (-47.8976086 -22.0123508),sao_carlos
POINT (-47.8968698 -22.0123531),sao_carlos
POINT (-47.8967937 -22.0123525),sao_carlos
POINT (-47.8976913 -22.0123896),sao_carlos
POINT (-47.8976986 -22.0132924),sao_carlos
POINT (-47.8890483 -22.0044193),sao_carlos
POINT (-47.889132 -22.0043984),sao_carlos
POINT (-47.8895594 -22.0042902),sao_carlos
POINT (-47.8896693 -22.0042668),sao_carlos
POINT (-47.8897962 -22.0042422),sao_carlos
POINT (-47.8899086 -22.004226),sao_carlos
POINT (-47.8899913 -22.0042273),sao_carlos
POINT (-47.8890475 -22.0043439),sao_carlos
POINT (-47.8890465 -22.0042543),sao_carlos
POINT (-47.889054 -22.0039728),sao_carlos
POINT (-47.8878128 -22.0122785),sao_carlos
POINT (-47.88688 -22.0122683),sao_carlos
POINT (-47.8867895 -22.0122673),sao_carlos
POINT (-47.8951909 -22.0061301),sao_carlos
POINT (-47.896061 -22.0057321),sao_carlos
POINT (-47.8960672 -22.0051641),sao_carlos
POINT (-47.8951346 -22.0061668),sao_carlos
POINT (-47.8950668 -22.006205),sao_carlos
POINT (-47.8949923 -22.006251),sao_carlos
POINT (-47.8949165 -22.006298),sao_carlos
POINT (-47.8960699 -22.0045169),sao_carlos
POINT (-47.8960905 -22.0037474),sao_carlos
POINT (-47.8960815 -22.0036847),sao_carlos
POINT (-47.9043308 -22.0125741),sao_carlos
POINT (-47.903821 -22.012437),sao_carlos
POINT (-47.9037756 -22.0124283),sao_carlos
POINT (-47.9033895 -22.0124229),sao_carlos
POINT (-47.9047645 -22.01269),sao_carlos
POINT (-47.9051241 -22.0127951),sao_carlos
POINT (-47.9042709 -22.0120688),sao_carlos
POINT (-47.9042049 -22.0115299),sao_carlos
POINT (-47.9041775 -22.0110836),sao_carlos
POINT (-47.9041595 -22.0106754),sao_carlos
POINT (-47.9041606 -22.010633),sao_carlos
POINT (-47.9017238 -22.0124048),sao_carlos
POINT (-47.9017718 -22.0124051),sao_carlos
POINT (-47.902549 -22.0124098),sao_carlos
POINT (-47.9017209 -22.0124715),sao_carlos
POINT (-47.9016815 -22.0133572),sao_carlos
POINT (-47.9016653 -22.012404),sao_carlos
POINT (-47.9008176 -22.0123921),sao_carlos
POINT (-47.9007616 -22.012396),sao_carlos
POINT (-47.9045722 -22.0068284),sao_carlos
POINT (-47.9044909 -22.0067476),sao_carlos
POINT (-47.9043961 -22.0066807),sao_carlos
POINT (-47.9043147 -22.0066369),sao_carlos
POINT (-47.90343 -22.0061724),sao_carlos
